Plot,plotno,vegtype,Height.cm
ARRI03,3,ARRI,7.3
ARRI03,3,ARRI,8.8
ARRI03,3,ARRI,9.2
ARRI03,3,ARRI,9.9
ARAR04,4,ARAR,13.1
ARRI05,5,ARRI,13.5
ARAR04,4,ARAR,13.6
ARRI03,3,ARRI,14.1
ARAR05,5,ARAR,14.8
ARRI05,5,ARRI,15.4
ARAR03,3,ARAR,16.3
SEEP01,1,SEEP,16.6
ARAR02,2,ARAR,16.8
ARAR03,3,ARAR,17.2
ARAR01,1,ARAR,17.4
ARRI02,2,ARRI,17.5
SEEP05,5,SEEP,17.6
SEEP01,1,SEEP,17.7
ARRI05,5,ARRI,17.7
ARAR05,5,ARAR,17.9
ARAR03,3,ARAR,17.9
ARAR03,3,ARAR,18.5
ARAR01,1,ARAR,18.5
ARRI04,4,ARRI,18.6
ARAR05,5,ARAR,18.7
ARRI04,4,ARRI,19.8
SEEP03,3,SEEP,19.8
ARRI02,2,ARRI,19.9
ARRI02,2,ARRI,20
SEEP01,1,SEEP,20.1
SEEP04,4,SEEP,20.2
ARRI05,5,ARRI,20.2
ARRI05,5,ARRI,20.3
ARRI01,1,ARRI,20.5
ARAR03,3,ARAR,21
ARAR01,1,ARAR,21.2
ARRI01,1,ARRI,21.3
ARAR02,2,ARAR,21.4
ARAR01,1,ARAR,21.9
ARAR02,2,ARAR,22
ARAR04,4,ARAR,22
ARRI02,2,ARRI,22.2
SEEP03,3,SEEP,22.5
SEEP05,5,SEEP,22.6
ARRI04,4,ARRI,22.8
ARAR04,4,ARAR,23
ARRI01,1,ARRI,23.6
SEEP01,1,SEEP,24.2
ARRI01,1,ARRI,24.2
SEEP05,5,SEEP,24.3
SEEP01,1,SEEP,24.4
ARAR05,5,ARAR,24.5
ARRI02,2,ARRI,24.5
SEEP03,3,SEEP,24.7
SEEP04,4,SEEP,24.8
SEEP04,4,SEEP,25.5
ARRI04,4,ARRI,25.7
ARRI01,1,ARRI,25.9
ARAR02,2,ARAR,27.5
SEEP04,4,SEEP,27.7
SEEP02,2,SEEP,28.1
SEEP03,3,SEEP,28.4
SEEP02,2,SEEP,28.9
ARAR01,1,ARAR,29
SEEP02,2,SEEP,29.1
ARAR02,2,ARAR,29.2
SEEP04,4,SEEP,29.4
ARAR05,5,ARAR,29.6
SEEP05,5,SEEP,30.1
SEEP05,5,SEEP,30.2
ARRI04,4,ARRI,33.3
SEEP03,3,SEEP,37.1
ARAR04,4,ARAR,41
SEEP02,2,SEEP,41.2
SEEP02,2,SEEP,44.6
